ds_dir,code,description
CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Amon/rsutcs/gr,local,NetCDF: I/O failure
CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/bigthetao/gn,noUse,conflicting values for variable 'vertices_longitude'
CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r2i1p1f1/Amon/all/gr,fix_time,to fix mixed cftime types
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp126/r13i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp126/r6i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp126/r9i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp126/r15i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp245/r20i1p1f1/Amon/all/gr,noUse,the last file for each var is bad (*210001-210012.nc)
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp245/r20i1p1f1/day/all/gr,noUse,the last file for each var is bad (*210001-210012.nc)
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp245/r20i1p1f1/Oday/all/gr,noUse,more of the same
ScenarioMIP/EC-Earth-Consortium/EC-Earth3/ssp245/r20i1p1f1/Oday/all/gn,noUse,more of the same
