experiment_id,experiment,activity_id,tier,min_number_yrs_per_sim,start_year,end_year
lfmip-rmLC,"prescribed land conditions (from running mean climatology) and initialized from ""historical"" run year 1980",['LS3MIP'],2,121,1980,2100
lfmip-rmLC-cruNcep,as LFMIP-rmLC with Land-Hist-cruNcep,['LS3MIP'],2,121,1980,2100
lfmip-rmLC-princeton,as LFMIP-rmLC with Land-Hist-princeton,['LS3MIP'],2,121,1980,2100
lfmip-rmLC-wfdei,as LFMIP-rmLC with Land-Hist-wfdei,['LS3MIP'],2,121,1980,2100
lgm,last glacial maximum,['PMIP'],1,100,,
lig127k,last interglacial (127k),['PMIP'],1,100,,
midHolocene,mid-Holocene,['PMIP'],1,200,,
midPliocene-eoi400,mid-Pliocene warm period,['PMIP'],1,100,,
modelSST-futArcSIC,Atmosphere time slice with present day coupled model SST and future Arctic SIC,['PAMIP'],3,1,2000,2001
modelSST-pdSIC,Atmosphere time slice present day control with coupled model SST,['PAMIP'],3,1,2000,2001
omip1,"OMIP experiment forced by Large and Yeager (CORE-2, NCEP) atmospheric data set and initialized with observed physical and biogeochemical ocean data",['OMIP'],1,310,,
omip1-spunup,"OMIP experiment forced by Large and Yeager (CORE-2, NCEP) atmospheric data set and initialized from at least a 2000-year spin up of the coupled physical-biogeochemical model",['OMIP'],2,310,,
omip2,OMIP experiment forced by JRA55-do atmospheric data set and initialized with observed physical and biogeochemical ocean data,['OMIP'],3,366,,
omip2-spunup,OMIP experiment forced by JRA55-do atmospheric data set and initialized from at least a 2000-year spin up of the coupled physical-biogeochemical model,['OMIP'],3,366,,
pa-futAntSIC,Partially-coupled time slice constrained by future Antarctic SIC,['PAMIP'],2,1,2000,2001
pa-futAntSIC-ext,Partially-coupled extended simulation with future Antarctic SIC,['PAMIP'],3,100,2000,2099
pa-futArcSIC,Partially-coupled time slice constrained by future Arctic SIC,['PAMIP'],2,1,2000,2001
pa-futArcSIC-ext,Partially-coupled extended simulation with future Arctic SIC,['PAMIP'],3,100,2000,2099
pa-pdSIC,Partially-coupled time slice contrained by present day SIC,['PAMIP'],2,1,2000,2001
pa-pdSIC-ext,Partially-coupled extended simulation constrained by present day SIC,['PAMIP'],3,100,2000,2099
pa-piAntSIC,Partially-coupled time slice with pre-industrial Antarctic SIC,['PAMIP'],2,1,2000,2001
pa-piArcSIC,Partially-coupled time slice constrained by pre-industrial Arctic SIC,['PAMIP'],2,1,2000,2001
past1000,last millennium,['PMIP'],1,1000,850,1849
past1000-solaronly,last millennium experiment using only solar forcing,['PMIP'],2,1000,850,1849
past1000-volconly,last millennium experiment using only volcanic forcing,['PMIP'],2,1000,850,1849
past2k,last two millennia experiment,['PMIP'],3,1849,1,1849
pdSST-futAntSIC,Atmosphere time slice with present day SST and future Antarctic SIC,['PAMIP'],1,1,2000,2001
pdSST-futArcSIC,Atmosphere time slice with present day SST and future Arctic SIC,['PAMIP'],1,1,2000,2001
pdSST-futArcSICSIT,Atmosphere time slice with present day SST and future Arctic SIC and sea ice thickness,['PAMIP'],3,1,2000,2001
pdSST-futBKSeasSIC,Atmosphere time slice with present day SST and future Barents and Kara Seas SIC,['PAMIP'],3,1,2000,2001
pdSST-futOkhotskSIC,Atmosphere time slice with present day SST and future Sea of Okhotsk SIC,['PAMIP'],3,1,2000,2001
pdSST-pdSIC,Atmosphere time slice with present day SST and SIC,['PAMIP'],1,1,2000,2001
pdSST-pdSICSIT,Atmosphere time slice constrained by present day conditions including sea ice thickness,['PAMIP'],3,1,2000,2001
pdSST-piAntSIC,Atmosphere time slice with present day SST and pre-industrial Antarctic SIC,['PAMIP'],1,1,2000,2001
pdSST-piArcSIC,Atmosphere time slice with present day SST and pre-industrial Arctic SIC,['PAMIP'],1,1,2000,2001
piClim-2xDMS,"pre-industrial climatological SSTs and forcing, but with doubled emissions of DMS",['AerChemMIP'],3,30,,
piClim-2xNOx,"pre-industrial climatological SSTs and forcing, but with doubled production of NOx due to lightning",['AerChemMIP'],3,30,,
piClim-2xVOC,"pre-industrial climatological SSTs and forcing, but with doubled emissions of biogenic VOCs",['AerChemMIP'],3,30,,
piClim-2xdust,"pre-industrial climatological SSTs and forcing, but with doubled emissions of dust",['AerChemMIP'],2,30,,
piClim-2xfire,"pre-industrial climatological SSTs and forcing, but with doubled emissions from fires",['AerChemMIP'],3,30,,
piClim-2xss,"pre-industrial climatological SSTs and forcing, but with doubled emissions of sea salt",['AerChemMIP'],2,30,,
piClim-4xCO2,effective radiative forcing by 4xCO2,['RFMIP'],1,30,,
piClim-BC,"pre-industrial climatological SSTs and forcing, but with 2014 black carbon emissions",['AerChemMIP'],2,30,,
piClim-CH4,"pre-industrial climatological SSTs and forcing, but with 2014 methane concentrations (including chemistry)",['AerChemMIP'],1,30,,
piClim-HC,"pre-industrial climatological SSTs and forcing, but with 2014 halocarbon concentrations (including chemistry)",['AerChemMIP'],1,30,,
piClim-N2O,"pre-industrial climatological SSTs and forcing, but with 2014 N2O concentrations (including chemistry)",['AerChemMIP'],2,30,,
piClim-NH3,"pre-industrial climatological SSTs and forcing, but with 2014 ammonia emissions",['AerChemMIP'],3,30,,
piClim-NOx,"pre-industrial climatological SSTs and forcing, but with 2014 NOx emissions",['AerChemMIP'],3,30,,
piClim-NTCF,"pre-industrial climatological SSTs and forcing, but with 2014 NTCF emissions",['AerChemMIP'],1,30,,
piClim-O3,"pre-industrial climatological SSTs and forcing, but with 2014 ozone precursor emissions",['AerChemMIP'],2,30,,
piClim-OC,"pre-industrial climatological SSTs and forcing, but with 2014 organic carbon emissions",['AerChemMIP'],3,30,,
piClim-SO2,"pre-industrial climatological SSTs and forcing, but with 2014 SO2 emissions",['AerChemMIP'],3,30,,
piClim-VOC,"pre-industrial climatological SSTs and forcing, but with 2014 VOC emissions",['AerChemMIP'],3,30,,
piClim-aer,effective radiative forcing by present-day aerosols,"['RFMIP', 'AerChemMIP']",1,30,,
piClim-anthro,effective radiative forcing by present day anthropogenic agents,['RFMIP'],1,30,,
piClim-control,Control simulation providing baseline for evaluating effective radiative forcing (ERF),"['RFMIP', 'AerChemMIP']",1,30,,
piClim-ghg,effective radiative forcing by present-day greenhouse gases,['RFMIP'],1,30,,
piClim-histaer,transient effective radiative forcing by aerosols,['RFMIP'],2,251,1850,2100
piClim-histall,transient effective radiative forcing,['RFMIP'],2,251,1850,2100
piClim-histghg,transient effective radiative forcing by greenhouse gases,['RFMIP'],2,251,1850,2100
piClim-histnat,transient effective radiative forcing by natural perturbations,['RFMIP'],2,251,1850,2100
piClim-lu,effective radiative forcing by present-day land use,['RFMIP'],1,30,,
piClim-spAer-aer,"effective radiative forcing at present day with specified anthropogenic aerosol optical properties, all forcings",['RFMIP'],2,,,
piClim-spAer-anthro,"effective radiative forcing at present day with specified anthropogenic aerosol optical properties, anthropogenic forcings",['RFMIP'],2,,,
piClim-spAer-histaer,"transient effective radiative forcing with specified anthropogenic aerosol optical properties, aerosol forcing",['RFMIP'],2,165,1850,2014
