variable_id,long_name,units,table_id
cropFrac,Percentage Crop Cover,%,Lmon
cropFrac,Percentage Crop Cover,%,Eyr
cropFracC3,Percentage Cover by C3 Crops,%,Emon
cropFracC4,Percentage Cover by C4 Crops,%,Emon
cw,Total Canopy Water Storage,kg m-2,Eday
darag,Aragonite Dissolution,mol m-3 s-1,Oyr
dcalc,Calcite Dissolution,mol m-3 s-1,Oyr
dcw,Change in Interception Storage,kg m-2,Eday
dems,Stratiform Cloud Emissivity,1,CF3hr
depdust,Total Deposition Rate of Dust,kg m-2 s-1,Emon
deptho,Sea Floor Depth Below Geoid,m,Ofx
detoc,Detrital Organic Carbon Concentration,mol m-3,Omon
detoc,Detrital Organic Carbon Concentration,mol m-3,Oyr
detocos,Surface Detrital Organic Carbon Concentration,mol m-3,Omon
dfe,Dissolved Iron Concentration,mol m-3,Omon
dfe,Dissolved Iron Concentration,mol m-3,Oyr
dfeos,Surface Dissolved Iron Concentration,mol m-3,Omon
dfr,Frozen Soil Depth,m,Eday
dgw,Change in Groundwater,kg m-2,Eday
difmxybo,Ocean Momentum XY Biharmonic Diffusivity,m4 s-1,Oyr
difmxylo,Ocean Momentum XY Laplacian Diffusivity,m2 s-1,Oyr
diftrblo,Ocean Tracer Bolus Laplacian Diffusivity,m2 s-1,Oclim
diftrblo,Ocean Tracer Diffusivity Due to Parameterized Mesoscale Advection,m2 s-1,Oyr
diftrelo,Ocean Tracer Epineutral Laplacian Diffusivity,m2 s-1,Oyr
diftrelo,Ocean Tracer Epineutral Laplacian Diffusivity,m2 s-1,Oclim
diftrxylo,Ocean Tracer XY Laplacian Diffusivity,m2 s-1,Oclim
difvho,Ocean Vertical Heat Diffusivity,m2 s-1,Oyr
difvho,Ocean Vertical Heat Diffusivity,m2 s-1,Oclim
difvmo,Ocean Vertical Momentum Diffusivity,m2 s-1,Oclim
difvmto,Ocean Vertical Momentum Diffusivity due to Tides,m2 s-1,Oclim
difvso,Ocean Vertical Salt Diffusivity,m2 s-1,Oclim
difvso,Ocean Vertical Salt Diffusivity,m2 s-1,Oyr
difvtrto,Ocean Vertical Tracer Diffusivity due to Tides,m2 s-1,Oclim
dispkevfo,Ocean Kinetic Energy Dissipation Per Unit Area due to Vertical Friction,W m-2,Oclim
dispkexyfo,Ocean Kinetic Energy Dissipation Per Unit Area due to XY Friction,W m-2,Oclim
dispkexyfo,Ocean Kinetic Energy Dissipation per Unit Area Due to XY Friction,W m-2,Oyr
dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,mol m-3,Oyr
dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,mol m-3,Omon
dissi14cabioos,Surface Abiotic Dissolved Inorganic Carbon-14 Concentration,mol m-3,Omon
dissic,Dissolved Inorganic Carbon Concentration,mol m-3,Omon
dissic,Dissolved Inorganic Carbon Concentration,mol m-3,Oyr
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,mol m-3,Omon
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,mol m-3,Oyr
dissicabioos,Surface Abiotic Dissolved Inorganic Carbon Concentration,mol m-3,Omon
dissicnat,Natural Dissolved Inorganic Carbon Concentration,mol m-3,Oyr
dissicnat,Natural Dissolved Inorganic Carbon Concentration,mol m-3,Omon
dissicnatos,Surface Natural Dissolved Inorganic Carbon Concentration,mol m-3,Omon
dissicos,Surface Dissolved Inorganic Carbon Concentration,mol m-3,Omon
dissoc,Dissolved Organic Carbon Concentration,mol m-3,Oyr
dissoc,Dissolved Organic Carbon Concentration,mol m-3,Omon
dissocos,Surface Dissolved Organic Carbon Concentration,mol m-3,Omon
dmc,Deep Convective Mass Flux,kg m-2 s-1,CFmon
dmlt,Depth to soil thaw,m,Eday
dms,Dimethyl Sulphide (DMS) Mole Fraction,mol mol-1,AERmon
dmso,Mole Concentration of Dimethyl Sulphide in sea water,mol m-3,Omon
dmsos,Surface Mole Concentration of Dimethyl Sulphide in sea water,mol m-3,Omon
dpco2,Delta CO2 Partial Pressure,Pa,Omon
dpco2abio,Abiotic Delta Pco Partial Pressure,Pa,Omon
dpco2nat,Natural Delta CO2 Partial Pressure,Pa,Omon
dpo2,Delta O2 Partial Pressure,Pa,Omon
drivw,Change in River Storage,kg m-2,Eday
drybc,Dry Deposition Rate of Black Carbon Aerosol Mass,kg m-2 s-1,AERmon
drydust,Dry Deposition Rate of Dust,kg m-2 s-1,AERmon
drynh3,Dry Deposition Rate of NH3,kg m-2 s-1,AERmon
drynh4,Dry Deposition Rate of NH4,kg m-2 s-1,AERmon
drynoy,Dry Deposition Rate of NOy,kg m-2 s-1,AERmon
dryo3,Dry Deposition Rate of O3,kg m-2 s-1,AERmon
dryoa,Dry Deposition Rate of Dry Aerosol Total Organic Matter,kg m-2 s-1,AERmon
dryso2,Dry Deposition Rate of SO2,kg m-2 s-1,AERmon
dryso4,Dry Deposition Rate of SO4,kg m-2 s-1,AERmon
dryss,Dry Deposition Rate of Sea-Salt Aerosol,kg m-2 s-1,AERmon
dslw,Change in soil moisture,kg m-2,Eday
dsn,Change in snow water equivalent,kg m-2,Eday
dsw,Change in Surface Water Storage,kg m-2,Eday
dtaus,Stratiform Cloud Optical Depth,1,CF3hr
dtes,Change in surface heat storage,J m-2,Eday
dtesn,Change in snow/ice cold content,J m-2,Eday
ec,Interception evaporation,kg m-2 s-1,Eday
ec550aer,Aerosol extinction coefficient,m-1,Emon
ec550aer,Aerosol extinction coefficient,m-1,6hrLev
edt,Eddy Diffusivity Coefficient for Temperature,m2 s-1,CFmon
edt,Eddy Diffusivity Coefficient for Temperature Variable,m2 s-1,CFsubhr
emiaco,total emission rate of anthropogenic co,kg m-2 s-1,AERmon
emianox,anthropogenic emission rate of nox,kg m-2 s-1,AERmon
emiaoa,total emission of anthropogenic  organic aerosol,kg m-2 s-1,AERmon
emibc,Total Emission Rate of Black Carbon Aerosol Mass,kg m-2 s-1,AERmon
emibvoc,Total Emission Rate of Biogenic NMVOC,kg m-2 s-1,AERmon
emico,Total Emission Rate of CO,kg m-2 s-1,AERmon
emidms,total emission rate of dms,kg m-2 s-1,AERmon
emidust,total emission rate of dust,kg m-2 s-1,AERmon
emiisop,Total Emission Rate of Isoprene,kg m-2 s-1,AERmon
emilnox,layer-integrated lightning production of NOx,mol s-1,AERmon
eminh3,Total Emission Rate of NH3,kg m-2 s-1,AERmon
eminox,Total Emission Rate of NOx,kg m-2 s-1,AERmon
emioa,Primary Emission and Chemical Production of Dry Aerosol Organic Matter,kg m-2 s-1,AERmon
emiso2,Total Emission Rate of SO2,kg m-2 s-1,AERmon
emiso4,Total Direct Emission Rate of SO4,kg m-2 s-1,AERmon
emiss,Total Emission Rate of Sea-Salt Aerosol,kg m-2 s-1,AERmon
emivoc,Total Emission Rate of NMVOC,kg m-2 s-1,AERmon
eow,Open Water Evaporation,kg m-2 s-1,Eday
eparag100,Downward Flux of Aragonite,mol m-2 s-1,Omon
epc100,Downward Flux of Particulate Organic Carbon,mol m-2 s-1,Omon
epcalc100,Downward Flux of Calcite,mol m-2 s-1,Omon
epfe100,Downward Flux of Particulate Iron,mol m-2 s-1,Omon
epfy,Northward Component of the Eliassen-Palm Flux,m3 s-2,EmonZ
epfy,Northward Component of the Eliassen-Palm Flux,m3 s-2,EdayZ
epfz,Upward Component of the Eliassen-Palm Flux,m3 s-2,EmonZ
epfz,Upward Component of the Eliassen-Palm Flux,m3 s-2,EdayZ
epn100,Downward Flux of Particulate Nitrogen,mol m-2 s-1,Omon
epp100,Downward Flux of Particulate Phosphorus,mol m-2 s-1,Omon
epsi100,Downward Flux of Particulate Silicon,mol m-2 s-1,Omon
es,Bare Soil Evaporation,kg m-2 s-1,Eday
esn,Snow Evaporation,kg m-2 s-1,Eday
et,Total Evapotranspiration,kg m-2 s-1,Eday
et,Total evapotranspiration,kg m-2 s-1,day
